*錒 *锕

*鎄 *锿

*嵦 *垲

*皚 *皑

*噯 *嗳

*藹 *蔼

*靄 *霭

*愛 *爱

*嬡 *嫒

*曖 *暧

*璦 *瑷

*礙 *碍

*靉 *叆

*菴 *庵

*鞌 *鞍

*諳 *谙

*闇 *暗

*鮟 *𩽾

*鵪 *鹌

*垵 *埯

*晻 *暗

*銨 *铵

*骯 *肮

*翶 *翱

*翺 *翱

*鰲 *鳌

*鼇 *鳌

*媼 *媪

*襖 *袄

*奧 *奥

*嶴 *岙

*驁 *骜

*鈀 *钯

*垻 *坝

*罷 *罢

*鮁 *鲅

*覇 *霸

*壩 *坝

*擺 *摆

*唄 *呗

*敗 *败

*粺 *稗

*頒 *颁

*岅 *坂

*鈑 *钣

*闆 *板

*絆 *绊

*辦 *办

*幫 *帮

*綁 *绑

*牓 *榜

*徬 *仿

*艕 *膀

*謗 *谤

*鎊 *镑

*剝 *剥

*齙 *龅

*飽 *饱

*緥 *褓

*鴇 *鸨

*寶 *宝

*報 *报

*鉋 *刨

*鮑 *鲍

*鑤 *刨

*盃 *杯

*桮 *杯

*揹 *背

*鵯 *鹎

*貝 *贝

*狽 *狈

*珼 *𫞥

*備 *备

*誖 *悖

*輩 *辈

*鋇 *钡

*憊 *惫

*逩 *奔

*犇 *奔

*賁 *贲

*錛 *锛

*綳 *绷

*繃 *绷

*鏰 *镚

*偪 *逼

*鰏 *鲾

*粃 *秕

*筆 *笔

*畢 *毕

*閉 *闭

*詖 *诐

*嗶 *哔

*痺 *痹

*蓽 *荜

*鉍 *铋

*幣 *币

*潷 *滗

*獘 *弊

*篳 *筚

*斃 *毙

*蹕 *跸

*贔 *赑

*編 *编

*邊 *边

*鯿 *鳊

*籩 *笾

*貶 *贬

*緶 *缏

*辮 *辫

*辯 *辩

*變 *变

*颮 *飑

*標 *标

*臕 *膘

*鏢 *镖

*飆 *飙

*飇 *飙

*飈 *飚

*驃 *骠

*鑣 *镳

*驫 *骉

*錶 *表

*鰾 *鳔

*鱉 *鳖

*鼈 *鳖

*別 *别

*癟 *瘪

*彆 *别

*賓 *宾

*賔 *宾

*儐 *傧

*濱 *滨

*瀕 *濒

*繽 *缤

*鑌 *镔

*髩 *鬓

*擯 *摈

*殯 *殡

*臏 *膑

*髕 *髌

*鬢 *鬓

*氷 *冰

*檳 *槟

*餅 *饼

*並 *并

*併 *并

*幷 *并

*竝 *并

*缽 *钵

*鉢 *钵

*撥 *拨

*餑 *饽

*愽 *博

*鈸 *钹

*鉑 *铂

*駁 *驳

*駮 *驳

*鮊 *鲌

*襏 *袯

*鎛 *镈

*鵓 *鹁

*蔔 *卜

*鈽 *钸

*補 *补

*鵏 *

*佈 *布

*鈈 *钚

*財 *财

*纔 *才

*倸 *睬

*埰 *采

*寀 *采

*採 *采

*跴 *踩

*綵 *采

*綵 *彩

*參 *参

*驂 *骖

*殘 *残

*慚 *惭

*慙 *惭

*蠶 *蚕

*慘 *惨

*穇 *䅟

*黲 *黪

*燦 *灿

*倉 *仓

*傖 *伧

*滄 *沧

*蒼 *苍

*艙 *舱

*鶬 *鸧

*撡 *操

*艸 *艹

*冊 *册

*側 *侧

*厠 *厕

*廁 *厕

*惻 *恻

*測 *测

*筞 *策

*筴 *策

*層 *层

*挿 *插

*鍤 *锸

*餷 *馇

*査 *查

*詧 *察

*鑔 *镲

*詫 *诧

*釵 *钗

*儕 *侪

*勑 *𠡠

*蠆 *虿

*覘 *觇

*摻 *掺

*攙 *搀

*嬋 *婵

*禪 *禅

*蟬 *蝉

*繵 *缠

*纏 *缠

*讒 *谗

*鑱 *镵

*饞 *馋

*產 *产

*産 *产

*剷 *铲

*滻 *浐

*蕆 *蒇

*諂 *谄

*燀 *

*鏟 *铲

*闡 *阐

*囅 *冁

*懺 *忏

*顫 *颤

*倀 *伥

*閶 *阊

*鯧 *鲳

*長 *长

*萇 *苌

*腸 *肠

*嘗 *尝

*塲 *场

*償 *偿

*嚐 *尝

*場 *场

*厰 *厂

*廠 *厂

*鋹 *

*悵 *怅

*瑒 *玚

*暢 *畅

*鈔 *钞

*車 *车

*硨 *砗

*撦 *扯

*徹 *彻

*綝 *

*陳 *陈

*訦 *谌

*塵 *尘

*諶 *谌

*硶 *碜

*磣 *碜

*趂 *趁

*稱 *称

*齔 *龀

*櫬 *榇

*襯 *衬

*讖 *谶

*撐 *撑

*赬 *赪

*檉 *柽

*蟶 *蛏

*鐺 *铛

*乗 *乘

*堘 *塍

*棖 *枨

*誠 *诚

*鋮 *铖

*澂 *澄

*懲 *惩

*騁 *骋

*喫 *吃

*絺 *𫄨

*鴟 *鸱

*癡 *痴

*馳 *驰

*遲 *迟

*恥 *耻

*齒 *齿

*勅 *敕

*飭 *饬

*熾 *炽

*沖 *冲

*衝 *冲

*蟲 *虫

*寵 *宠

*銃 *铳

*詶 *酬

*酧 *酬

*綢 *绸

*儔 *俦

*幬 *帱

*燽 *

*雠 *仇

*疇 *畴

*籌 *筹

*躊 *踌

*醻 *酬

*讎 *仇

*讎 *雠

*讐 *仇

*讐 *雠

*醜 *丑

*矁 *瞅

*貙 *䝙

*齣 *出

*芻 *刍

*耡 *锄

*廚 *厨

*鋤 *锄

*懨 *恹

*雛 *雏

*櫥 *橱

*躕 *蹰

*儲 *储

*礎 *础

*齼 *

*処 *处

*絀 *绌

*處 *处

*觸 *触

*舩 *船

*傳 *传

*釧 *钏

*窓 *窗

*牎 *窗

*牕 *窗

*瘡 *疮

*牀 *床

*闖 *闯

*創 *创

*愴 *怆

*搥 *捶

*箠 *棰

*錘 *锤

*鎚 *锤

*旾 *春

*純 *纯

*脣 *唇

*湻 *淳

*蒓 *莼

*蓴 *莼

*醕 *醇

*錞 *

*鶉 *鹑

*綽 *绰

*輟 *辍

*齪 *龊

*詞 *词

*辤 *辞

*餈 *糍

*辭 *辞

*鶿 *鹚

*鷀 *鹚

*賜 *赐

*囪 *囱

*怱 *匆

*從 *从

*悤 *匆

*蓯 *苁

*蔥 *葱

*樅 *枞

*瑽 *𪻐

*緫 *总

*聰 *聪

*驄 *骢

*樷 *丛

*叢 *丛

*湊 *凑

*輳 *辏

*觕 *粗

*麤 *粗

*蹵 *蹴

*攛 *撺

*躥 *蹿

*鑹 *镩

*欑 *攒

*篹 *纂

*簒 *篡

*竄 *窜

*脃 *脆

*邨 *村

*鹺 *鹾

*銼 *锉

*錯 *错

*噠 *哒

*墶 *垯

*鎝 *𨱏

*剳 *札

*達 *达

*薘 *荙

*躂 *跶

*鐽 *𫟼

*韃 *鞑

*獃 *呆

*軑 *轪

*帶 *带

*紿 *绐

*貸 *贷

*靆 *叇

*單 *单

*鄲 *郸

*擔 *担

*殫 *殚

*癉 *瘅

*簞 *箪

*紞 *

*撣 *掸

*膽 *胆

*啗 *啖

*誕 *诞

*僤 *

*噉 *啖

*彈 *弹

*憚 *惮

*當 *当

*儅 *当

*噹 *当

*璫 *珰

*襠 *裆

*簹 *筜

*擋 *挡

*黨 *党

*攩 *挡

*欓 *𣗋

*讜 *谠

*氹 *凼

*碭 *砀

*蕩 *荡

*壋 *垱

*檔 *档

*璗 *

*盪 *荡

*魛 *鱽

*島 *岛

*搗 *捣

*導 *导

*擣 *捣

*禱 *祷

*盜 *盗

*燾 *焘

*悳 *德

*鍀 *锝

*燈 *灯

*鄧 *邓

*櫈 *凳

*鐙 *镫

*隄 *堤

*磾 *䃅

*鏑 *镝

*滌 *涤

*頔 *

*敵 *敌

*糴 *籴

*覿 *觌

*牴 *抵

*觝 *抵

*詆 *诋

*遞 *递

*蔕 *蒂

*締 *缔

*諦 *谛

*螮 *䗖

*顛 *颠

*巔 *巅

*癲 *癫

*點 *点

*唸 *念

*鈿 *钿

*電 *电

*墊 *垫

*澱 *淀

*彫 *雕

*琱 *雕

*鯛 *鲷

*鵰 *雕

*弔 *吊

*釣 *钓

*蓧 *莜

*銱 *铞

*調 *调

*窵 *窎

*啑 *喋

*嵽 *

*蜨 *蝶

*諜 *谍

*曡 *叠

*鰈 *鲽

*疉 *叠

*疊 *叠

*釘 *钉

*頂 *顶

*矴 *碇

*訂 *订

*椗 *碇

*錠 *锭

*丟 *丢

*銩 *铥

*東 *东

*崬 *岽

*蝀 *

*鼕 *冬

*鶇 *鸫

*峝 *峒

*凍 *冻

*動 *动

*崠 *岽

*棟 *栋

*腖 *胨

*詷 *𫍣

*兠 *兜

*鈄 *钭

*荳 *豆

*鬥 *斗

*鬦 *斗

*竇 *窦

*鬪 *斗

*鬬 *斗

*鬭 *斗

*闍 *阇

*蝳 *玳

*獨 *独

*凟 *渎

*匵 *椟

*瀆 *渎

*櫝 *椟

*牘 *牍

*犢 *犊

*瓄 *𪻨

*讀 *读

*黷 *黩

*覩 *睹

*賭 *赌

*篤 *笃

*妬 *妒

*鍍 *镀

*耑 *端

*緞 *缎

*鍛 *锻

*斷 *断

*籪 *簖

*兌 *兑

*隊 *队

*對 *对

*懟 *怼

*鐓 *镦

*墪 *墩

*噸 *吨

*躉 *趸

*鈍 *钝

*頓 *顿

*遯 *遁

*燉 *炖

*奪 *夺

*鐸 *铎

*朶 *朵

*綞 *缍

*嚲 *亸

*垜 *垛

*跥 *跺

*飿 *饳

*墮 *堕

*娿 *婀

*峩 *峨

*訛 *讹

*鋨 *锇

*額 *额

*鵝 *鹅

*鵞 *鹅

*譌 *讹

*惡 *恶

*噁 *恶

*噁 *

*戹 *厄

*阨 *厄

*堊 *垩

*軛 *轭

*蕚 *萼

*餓 *饿

*諤 *谔

*閼 *阏

